epoch,training_accuracy,learnable_threshold,Validation_accuracy,Best_accuracy
196.0,99.9666,13.2066,70.8669,75.1008
197.0,99.9555,13.2119,71.0685,75.1008
197.0,99.9555,13.2119,71.0685,75.1008
198.0,99.9666,13.2156,70.4637,75.1008
198.0,99.9666,13.2156,70.4637,75.1008
199.0,99.9555,13.2195,71.1694,75.1008
199.0,99.9555,13.2195,71.1694,75.1008
200.0,99.9778,13.2234,72.379,75.1008
200.0,99.9778,13.2234,72.379,75.1008
201.0,99.9666,13.2275,71.5726,75.1008
201.0,99.9666,13.2275,71.5726,75.1008
202.0,99.9778,13.2377,70.2621,75.1008
202.0,99.9778,13.2377,70.2621,75.1008
203.0,99.9555,13.2403,70.7661,75.1008
203.0,99.9555,13.2403,70.7661,75.1008
204.0,99.9666,13.243,71.1694,75.1008
204.0,99.9666,13.243,71.1694,75.1008
205.0,99.9222,13.2453,69.254,75.1008
205.0,99.9222,13.2453,69.254,75.1008
206.0,99.9889,13.248,69.8589,75.1008
206.0,99.9889,13.248,69.8589,75.1008
207.0,99.9333,13.2522,69.6573,75.1008
207.0,99.9333,13.2522,69.6573,75.1008
208.0,99.9444,13.2553,70.8669,75.1008
208.0,99.9444,13.2553,70.8669,75.1008
209.0,99.9778,13.2576,69.9597,75.1008
209.0,99.9778,13.2576,69.9597,75.1008
210.0,99.9889,13.2599,70.7661,75.1008
210.0,99.9889,13.2599,70.7661,75.1008
211.0,99.9666,13.2624,70.2621,75.1008
211.0,99.9666,13.2624,70.2621,75.1008
212.0,99.9778,13.2663,70.7661,75.1008
212.0,99.9778,13.2663,70.7661,75.1008
213.0,99.9555,13.2692,70.3629,75.1008
213.0,99.9555,13.2692,70.3629,75.1008
214.0,99.9555,13.2738,71.1694,75.1008
214.0,99.9555,13.2738,71.1694,75.1008
215.0,99.9666,13.2797,70.5645,75.1008
215.0,99.9666,13.2797,70.5645,75.1008
216.0,99.9778,13.2826,69.9597,75.1008
216.0,99.9778,13.2826,69.9597,75.1008
